,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
ESP-La Liga,2021,Real Sociedad,Álex Remiro,ESP,GK,25,1995,38,38,3420,38.0,38,1.0,102,67,65.7,17,11,10,14,36.8,5,3,1,1,25.0
ESP-La Liga,2021,Sevilla,Tomáš Vaclík,CZE,GK,31,1989,5,5,450,5.0,5,1.0,14,9,64.3,3,0,2,2,40.0,0,0,0,0,
ESP-La Liga,2021,Sevilla,Yassine Bounou,MAR,GK,29,1991,33,33,2970,33.0,28,0.85,101,79,76.2,21,5,7,15,45.5,6,4,2,0,33.3
ESP-La Liga,2021,Valencia,Jasper Cillessen,NED,GK,31,1989,10,10,900,10.0,11,1.1,42,33,76.2,5,1,4,3,30.0,2,1,1,0,50.0
ESP-La Liga,2021,Valencia,Jaume Doménech,ESP,GK,29,1990,28,28,2520,28.0,42,1.5,124,88,69.4,5,12,11,4,14.3,6,4,2,0,33.3
ESP-La Liga,2021,Valladolid,Jordi Masip,ESP,GK,31,1989,25,25,2250,25.0,40,1.6,112,75,67.9,4,9,12,2,8.0,4,4,0,0,0.0
ESP-La Liga,2021,Valladolid,Roberto,ESP,GK,34,1986,13,13,1170,13.0,17,1.31,44,29,65.9,1,7,5,1,7.7,3,2,0,1,0.0
ESP-La Liga,2021,Villarreal,Gerónimo Rulli,ARG,GK,28,1992,2,2,180,2.0,4,2.0,8,4,50.0,0,0,2,0,0.0,0,0,0,0,
ESP-La Liga,2021,Villarreal,Sergio Asenjo,ESP,GK,31,1989,36,36,3240,36.0,41,1.14,113,80,69.9,15,13,8,10,27.8,9,7,1,1,12.5
ESP-La Liga,2223,Almería,Diego Mariño,ESP,GK,32,1990,1,0,45,0.5,2,4.0,5,3,60.0,0,0,0,0,,0,0,0,0,
ESP-La Liga,2223,Almería,Fernando,ESP,GK,32,1990,37,37,3285,36.5,61,1.67,188,132,69.7,11,8,18,4,10.8,6,4,1,1,20.0
ESP-La Liga,2223,Almería,Fernando Pacheco,ESP,GK,30,1992,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2223,Athletic Club,Julen Agirrezabala,ESP,GK,21,2000,8,7,675,7.5,6,0.8,19,13,68.4,1,3,3,2,28.6,0,0,0,0,
ESP-La Liga,2223,Athletic Club,Unai Simón,ESP,GK,25,1997,31,31,2745,30.5,37,1.21,104,70,67.3,13,6,12,9,29.0,3,3,0,0,0.0
ESP-La Liga,2223,Atlético Madrid,Antonio Gomis,ESP,GK,19,2003,1,0,6,0.1,1,15.0,1,0,0.0,0,0,0,0,,0,0,0,0,
ESP-La Liga,2223,Atlético Madrid,Ivo Grbić,CRO,GK,26,1996,12,10,922,10.2,12,1.17,45,36,80.0,6,3,1,2,20.0,3,3,0,0,0.0
ESP-La Liga,2223,Atlético Madrid,Jan Oblak,SVN,GK,29,1993,28,28,2492,27.7,20,0.72,80,60,76.3,17,5,6,12,42.9,2,1,0,1,0.0
ESP-La Liga,2223,Barcelona,Iñaki Peña,ESP,GK,23,1999,2,0,73,0.8,2,2.47,4,2,50.0,0,0,0,0,,0,0,0,0,
ESP-La Liga,2223,Barcelona,Marc-André ter Stegen,GER,GK,30,1992,38,38,3347,37.2,18,0.48,98,83,84.7,28,4,6,26,68.4,3,3,0,0,0.0
ESP-La Liga,2223,Celta Vigo,Agustín Marchesín,ARG,GK,34,1988,19,19,1710,19.0,29,1.53,67,42,59.7,5,5,9,6,31.6,4,2,2,0,50.0
ESP-La Liga,2223,Celta Vigo,Iván Villar,ESP,GK,25,1997,19,19,1710,19.0,24,1.26,59,38,64.4,6,5,8,4,21.1,4,3,0,1,0.0
ESP-La Liga,2223,Cádiz,David Gil,ESP,GK,28,1994,4,4,360,4.0,5,1.25,22,18,81.8,1,1,2,1,25.0,1,1,0,0,0.0
ESP-La Liga,2223,Cádiz,Jeremías Ledesma,ARG,GK,29,1993,34,34,3060,34.0,48,1.41,173,133,76.9,9,11,14,12,35.3,9,8,1,0,11.1
ESP-La Liga,2223,Elche,Axel Werner,ARG,GK,26,1996,2,2,180,2.0,4,2.0,9,5,55.6,0,0,2,0,0.0,0,0,0,0,
ESP-La Liga,2223,Elche,Édgar Badía,ESP,GK,30,1992,36,36,3240,36.0,63,1.75,189,136,70.4,5,10,21,4,11.1,10,7,3,0,30.0
ESP-La Liga,2223,Espanyol,Benjamin Lecomte,FRA,GK,31,1991,10,10,899,10.0,14,1.4,43,28,67.4,1,5,4,1,10.0,0,0,0,0,
ESP-La Liga,2223,Espanyol,Fernando Pacheco,ESP,GK,30,1992,16,16,1440,16.0,33,2.06,83,55,65.1,4,3,9,3,18.8,5,4,1,0,20.0
ESP-La Liga,2223,Espanyol,Joan García,ESP,GK,21,2001,1,1,90,1.0,3,3.0,3,1,33.3,0,1,0,0,0.0,1,1,0,0,0.0
ESP-La Liga,2223,Espanyol,Álvaro Fernández,ESP,GK,24,1998,11,11,990,11.0,18,1.64,52,33,65.4,3,4,4,2,18.2,0,0,0,0,
ESP-La Liga,2223,Getafe,David Soria,ESP,GK,29,1993,38,38,3420,38.0,45,1.18,157,120,73.9,10,12,16,13,34.2,8,4,4,0,50.0
ESP-La Liga,2223,Girona,Juan Carlos,ESP,GK,34,1988,10,10,900,10.0,18,1.8,42,26,61.9,2,2,6,0,0.0,2,2,0,0,0.0
ESP-La Liga,2223,Girona,Paulo Gazzaniga,ARG,GK,30,1992,28,28,2520,28.0,37,1.32,124,90,73.4,11,8,9,4,14.3,6,4,1,1,20.0
ESP-La Liga,2223,Mallorca,Dominik Greif,SVK,GK,25,1997,1,1,90,1.0,3,3.0,8,5,62.5,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2223,Mallorca,Leo Román,ESP,GK,22,2000,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
ESP-La Liga,2223,Mallorca,Predrag Rajković,SRB,GK,26,1995,36,36,3240,36.0,40,1.11,127,93,73.2,13,8,15,12,33.3,7,6,1,0,14.3
ESP-La Liga,2223,Osasuna,Aitor Fernández,ESP,GK,31,1991,21,21,1890,21.0,19,0.9,78,59,75.6,10,5,6,8,38.1,0,0,0,0,
ESP-La Liga,2223,Osasuna,Sergio Herrera,ESP,GK,29,1993,17,17,1530,17.0,23,1.35,69,48,68.1,5,3,9,3,17.6,4,1,1,2,50.0
ESP-La Liga,2223,Rayo Vallecano,Diego López,ESP,GK,40,1981,2,1,96,1.1,4,3.75,5,1,20.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2223,Rayo Vallecano,Stole Dimitrievski,MKD,GK,28,1993,37,37,3324,36.9,49,1.33,140,94,67.9,13,10,14,9,24.3,5,4,0,1,0.0
ESP-La Liga,2223,Real Betis,Claudio Bravo,CHI,GK,39,1983,12,12,1080,12.0,8,0.67,38,30,81.6,5,5,2,4,33.3,1,1,0,0,0.0
ESP-La Liga,2223,Real Betis,Rui Silva,POR,GK,28,1994,26,26,2340,26.0,32,1.23,103,73,70.9,12,4,10,9,34.6,2,2,0,0,0.0
ESP-La Liga,2223,Real Madrid,Andriy Lunin,UKR,GK,23,1999,7,7,630,7.0,7,1.0,19,12,63.2,4,1,2,3,42.9,0,0,0,0,
ESP-La Liga,2223,Real Madrid,Thibaut Courtois,BEL,GK,30,1992,31,31,2790,31.0,29,0.94,113,89,77.9,20,5,6,10,32.3,5,4,1,0,20.0
ESP-La Liga,2223,Real Sociedad,Álex Remiro,ESP,GK,27,1995,38,38,3420,38.0,35,0.92,132,99,74.2,21,8,9,15,39.5,2,1,1,0,50.0
ESP-La Liga,2223,Sevilla,Marko Dmitrović,SRB,GK,30,1992,15,13,1269,14.1,13,0.92,57,44,77.2,6,4,3,5,38.5,0,0,0,0,
ESP-La Liga,2223,Sevilla,Yassine Bounou,MAR,GK,31,1991,25,25,2151,23.9,40,1.67,99,62,61.6,7,6,12,4,16.0,3,2,1,0,33.3
ESP-La Liga,2223,Valencia,Giorgi Mamardashvili,GEO,GK,21,2000,38,38,3420,38.0,45,1.18,148,105,70.9,11,9,18,7,18.4,5,2,0,3,0.0
ESP-La Liga,2223,Valladolid,Jordi Masip,ESP,GK,33,1989,28,28,2507,27.9,42,1.51,137,103,73.0,9,5,14,8,28.6,9,5,3,1,37.5
ESP-La Liga,2223,Valladolid,Sergio Asenjo,ESP,GK,33,1989,10,10,900,10.0,21,2.1,51,31,60.8,2,2,6,1,10.0,1,1,0,0,0.0
ESP-La Liga,2223,Valladolid,Álvaro Aceves,ESP,GK,19,2003,1,0,13,0.1,0,0.0,3,3,100.0,0,0,0,0,,0,0,0,0,
ESP-La Liga,2223,Villarreal,Filip Jørgensen,DEN,GK,20,2002,2,2,180,2.0,3,1.5,6,3,50.0,0,1,1,0,0.0,0,0,0,0,
ESP-La Liga,2223,Villarreal,Gerónimo Rulli,ARG,GK,30,1992,14,14,1260,14.0,10,0.71,56,46,82.1,6,3,5,7,50.0,0,0,0,0,
ESP-La Liga,2223,Villarreal,Pepe Reina,ESP,GK,39,1982,22,22,1980,22.0,27,1.23,84,61,72.6,13,3,6,5,22.7,4,4,0,0,0.0
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,34,3060,34.0,38,1.12,117,87,74.4,11,8,15,9,26.5,8,8,0,0,0.0
ESP-La Liga,2324,Alavés,Jesús Owono,EQG,GK,22,2001,4,4,360,4.0,8,2.0,24,16,66.7,1,2,1,1,25.0,0,0,0,0,
ESP-La Liga,2324,Almería,Diego Mariño,ESP,GK,33,1990,1,1,90,1.0,2,2.0,2,2,100.0,0,0,1,0,0.0,2,2,0,0,0.0
ESP-La Liga,2324,Almería,Fernando,ESP,GK,33,1990,4,4,360,4.0,10,2.5,23,13,56.5,1,1,2,0,0.0,0,0,0,0,
ESP-La Liga,2324,Almería,Luís Maximiano,POR,GK,24,1999,33,33,2970,33.0,63,1.91,171,112,65.5,2,11,20,3,9.1,7,4,1,2,20.0
ESP-La Liga,2324,Athletic Club,Julen Agirrezabala,ESP,GK,22,2000,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,1,50.0,0,0,0,0,
ESP-La Liga,2324,Athletic Club,Unai Simón,ESP,GK,26,1997,36,36,3182,35.4,33,0.93,121,91,73.6,18,11,7,15,41.7,5,1,3,1,75.0
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,30,1993,38,38,3420,38.0,43,1.13,143,101,70.6,24,4,10,11,28.9,2,1,0,1,0.0
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24,1999,10,10,900,10.0,17,1.7,39,22,56.4,6,2,2,2,20.0,0,0,0,0,
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31,1992,28,28,2520,28.0,27,0.96,100,75,75.0,20,5,3,12,42.9,2,2,0,0,0.0
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26,1997,12,12,1014,11.3,18,1.6,42,27,61.9,2,4,6,0,0.0,3,2,1,0,33.3
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,36,1987,27,26,2403,26.7,39,1.46,118,83,70.3,8,7,11,2,7.7,5,4,0,1,0.0
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,29,1994,5,4,372,4.1,8,1.94,25,17,68.0,0,3,1,1,25.0,0,0,0,0,
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,30,1993,34,34,3048,33.9,47,1.39,150,105,70.0,6,12,16,7,20.6,2,2,0,0,0.0
ESP-La Liga,2324,Getafe,Daniel Fuzato,BRA,GK,26,1997,1,0,7,0.1,2,25.71,2,0,0.0,0,0,0,0,,0,0,0,0,
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30,1993,38,38,3413,37.9,52,1.37,168,122,72.0,10,13,15,10,26.3,7,5,1,1,16.7
ESP-La Liga,2324,Girona,Paulo Gazzaniga,ARG,GK,31,1992,38,38,3420,38.0,46,1.21,164,123,75.0,25,6,7,9,23.7,7,5,1,1,16.7
ESP-La Liga,2324,Granada,André Ferreira,POR,GK,27,1996,15,14,1340,14.9,29,1.95,75,49,65.3,0,5,9,0,0.0,3,3,0,0,0.0
ESP-La Liga,2324,Granada,Augusto Batalla,ARG,GK,27,1996,17,17,1530,17.0,28,1.65,87,59,67.8,3,4,10,3,17.6,0,0,0,0,
ESP-La Liga,2324,Granada,Marc Martínez,ESP,GK,33,1990,3,3,270,3.0,11,3.67,21,12,57.1,0,0,3,0,0.0,2,2,0,0,0.0
ESP-La Liga,2324,Granada,Raúl Fernández,ESP,GK,35,1988,4,4,280,3.1,11,3.54,19,8,42.1,1,0,3,0,0.0,1,0,0,1,
ESP-La Liga,2324,Las Palmas,Aarón Escandell,ESP,GK,27,1995,2,1,153,1.7,3,1.76,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2324,Las Palmas,Álvaro Vallés,ESP,GK,26,1997,37,37,3263,36.3,44,1.21,147,109,72.8,10,10,17,8,21.6,8,4,3,1,42.9
ESP-La Liga,2324,Mallorca,Dominik Greif,SVK,GK,26,1997,1,1,90,1.0,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,
ESP-La Liga,2324,Mallorca,Iván Cuéllar,ESP,GK,39,1984,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
ESP-La Liga,2324,Mallorca,Predrag Rajković,SRB,GK,27,1995,36,36,3240,36.0,43,1.19,136,98,71.3,7,15,14,5,13.9,5,4,1,0,20.0
ESP-La Liga,2324,Osasuna,Aitor Fernández,ESP,GK,32,1991,7,6,551,6.1,9,1.47,19,11,57.9,0,2,4,1,16.7,1,1,0,0,0.0
ESP-La Liga,2324,Osasuna,Sergio Herrera,ESP,GK,30,1993,32,32,2869,31.9,47,1.47,131,85,64.1,12,7,13,9,28.1,1,0,1,0,100.0
ESP-La Liga,2324,Rayo Vallecano,Dani Cárdenas,ESP,GK,26,1997,1,1,90,1.0,1,1.0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2324,Rayo Vallecano,Stole Dimitrievski,MKD,GK,29,1993,37,37,3330,37.0,47,1.27,151,106,69.5,8,14,15,9,24.3,2,1,1,0,50.0
ESP-La Liga,2324,Real Betis,Claudio Bravo,CHI,GK,40,1983,7,7,630,7.0,5,0.71,22,17,77.3,3,4,0,2,28.6,0,0,0,0,
ESP-La Liga,2324,Real Betis,Fran Vieites,ESP,GK,24,1999,4,3,315,3.5,4,1.14,18,14,77.8,1,2,0,1,33.3,0,0,0,0,
ESP-La Liga,2324,Real Betis,Rui Silva,POR,GK,29,1994,28,28,2475,27.5,36,1.31,114,86,74.6,10,9,9,7,25.0,8,7,1,0,12.5
ESP-La Liga,2324,Real Madrid,Andriy Lunin,UKR,GK,24,1999,21,21,1890,21.0,17,0.81,64,48,75.0,16,5,0,4,19.0,1,1,0,0,0.0
ESP-La Liga,2324,Real Madrid,Kepa Arrizabalaga,ESP,GK,28,1994,14,13,1198,13.3,9,0.68,39,30,76.9,10,2,1,4,30.8,0,0,0,0,
ESP-La Liga,2324,Real Madrid,Thibaut Courtois,BEL,GK,31,1992,4,4,332,3.7,0,0.0,16,15,100.0,3,1,0,0,0.0,0,0,0,0,
ESP-La Liga,2324,Real Sociedad,Unai Marrero,ESP,GK,21,2001,2,1,142,1.6,3,1.9,5,3,60.0,0,0,1,0,0.0,1,1,0,0,0.0
ESP-La Liga,2324,Real Sociedad,Álex Remiro,ESP,GK,28,1995,37,37,3275,36.4,36,0.99,126,95,75.4,16,12,9,13,35.1,6,5,1,0,16.7
ESP-La Liga,2324,Sevilla,Marko Dmitrović,SRB,GK,31,1992,13,13,1170,13.0,25,1.92,67,44,65.7,2,2,9,2,15.4,2,2,0,0,0.0
ESP-La Liga,2324,Sevilla,Yassine Bounou,MAR,GK,32,1991,1,1,90,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2324,Sevilla,Ørjan Nyland,NOR,GK,32,1990,24,24,2160,24.0,27,1.13,103,79,76.7,8,9,7,5,20.8,3,3,0,0,0.0
ESP-La Liga,2324,Valencia,Cristian,ESP,GK,25,1998,1,0,57,0.6,1,1.58,3,2,66.7,0,0,0,0,,0,0,0,0,
ESP-La Liga,2324,Valencia,Giorgi Mamardashvili,GEO,GK,22,2000,37,37,3284,36.5,41,1.12,140,104,72.9,13,10,14,9,24.3,6,3,3,0,50.0
ESP-La Liga,2324,Valencia,Jaume Doménech,ESP,GK,32,1990,2,1,79,0.9,3,3.42,12,9,75.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2324,Villarreal,Filip Jørgensen,DEN,GK,21,2002,36,36,3240,36.0,63,1.75,201,143,71.1,13,10,13,3,8.3,5,5,0,0,0.0
ESP-La Liga,2324,Villarreal,Pepe Reina,ESP,GK,40,1982,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
ESP-La Liga,2425,Alavés,Adrian Rodriguez,ESP,GK,23,2000,2,1,122,1.4,2,1.48,5,4,80.0,0,1,0,1,100.0,1,1,0,0,0.0
ESP-La Liga,2425,Alavés,Antonio Sivera,ESP,GK,27,1996,32,32,2810,31.2,39,1.25,106,75,71.7,9,10,13,9,28.1,9,9,0,0,0.0
ESP-La Liga,2425,Alavés,Jesús Owono,EQG,GK,23,2001,6,5,487,5.4,7,1.29,13,7,53.8,1,1,3,0,0.0,1,1,0,0,0.0
ESP-La Liga,2425,Athletic Club,Alex Padilla,ESP,GK,20,2003,5,3,321,3.6,6,1.68,17,12,70.6,0,1,2,0,0.0,1,1,0,0,0.0
ESP-La Liga,2425,Athletic Club,Julen Agirrezabala,ESP,GK,23,2000,14,14,1206,13.4,10,0.75,32,24,71.9,9,4,1,5,35.7,2,1,1,0,50.0
ESP-La Liga,2425,Athletic Club,Unai Simón,ESP,GK,27,1997,21,21,1890,21.0,14,0.67,59,47,78.0,10,8,3,10,47.6,2,1,1,0,50.0
ESP-La Liga,2425,Atlético Madrid,Jan Oblak,SVN,GK,31,1993,36,36,3240,36.0,30,0.83,111,86,77.5,20,10,6,15,41.7,5,5,0,0,0.0
ESP-La Liga,2425,Atlético Madrid,Juan Musso,ARG,GK,30,1994,2,2,180,2.0,0,0.0,2,2,100.0,2,0,0,2,100.0,0,0,0,0,
ESP-La Liga,2425,Barcelona,Iñaki Peña,ESP,GK,25,1999,16,15,1396,15.5,18,1.16,52,35,69.2,7,3,5,4,26.7,2,2,0,0,0.0
ESP-La Liga,2425,Barcelona,Marc-André ter Stegen,GER,GK,32,1992,8,8,674,7.5,9,1.2,22,14,63.6,7,0,1,1,12.5,1,1,0,0,0.0
ESP-La Liga,2425,Barcelona,Wojciech Szczęsny,POL,GK,34,1990,15,15,1350,15.0,12,0.8,32,21,65.6,14,1,0,8,53.3,1,1,0,0,0.0
ESP-La Liga,2425,Celta Vigo,Iván Villar,ESP,GK,27,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0
ESP-La Liga,2425,Celta Vigo,Vicente Guaita,ESP,GK,37,1987,34,34,3060,34.0,48,1.41,126,81,64.3,14,7,13,8,23.5,3,3,0,0,0.0
ESP-La Liga,2425,Espanyol,Joan García,ESP,GK,23,2001,38,38,3420,38.0,51,1.34,188,143,75.0,11,9,18,8,21.1,6,4,2,0,33.3
ESP-La Liga,2425,Getafe,David Soria,ESP,GK,31,1993,38,38,3420,38.0,39,1.03,119,89,73.9,11,9,18,9,23.7,9,8,1,0,11.1
ESP-La Liga,2425,Girona,Pau López,ESP,GK,29,1994,1,0,45,0.5,2,4.0,3,1,33.3,0,0,0,0,,0,0,0,0,
ESP-La Liga,2425,Girona,Paulo Gazzaniga,ARG,GK,32,1992,36,36,3195,35.5,51,1.44,136,90,64.0,11,8,17,8,22.2,5,2,3,0,60.0
ESP-La Liga,2425,Girona,Vladyslav Krapyvtsov,UKR,GK,19,2005,2,2,180,2.0,7,3.5,18,12,66.7,0,0,2,0,0.0,1,1,0,0,0.0
ESP-La Liga,2425,Las Palmas,Dinko Horkaš,CRO,GK,25,1999,13,11,1085,12.1,19,1.58,53,36,66.0,2,0,9,1,9.1,2,1,1,0,50.0
ESP-La Liga,2425,Las Palmas,Jasper Cillessen,NED,GK,35,1989,27,27,2335,25.9,42,1.62,123,88,69.1,6,8,13,3,11.1,8,4,3,1,42.9
ESP-La Liga,2425,Leganés,Juan Soriano,ESP,GK,26,1997,6,6,540,6.0,7,1.17,26,19,73.1,1,2,3,1,16.7,0,0,0,0,
ESP-La Liga,2425,Leganés,Marko Dmitrović,SRB,GK,32,1992,32,32,2880,32.0,49,1.53,145,102,71.0,8,11,13,10,31.3,8,7,0,1,0.0
ESP-La Liga,2425,Mallorca,Dominik Greif,SVK,GK,27,1997,31,31,2790,31.0,34,1.1,117,85,72.6,11,8,12,7,22.6,2,2,0,0,0.0
ESP-La Liga,2425,Mallorca,Leo Román,ESP,GK,24,2000,7,7,630,7.0,10,1.43,49,40,81.6,2,1,4,2,28.6,1,1,0,0,0.0
ESP-La Liga,2425,Osasuna,Aitor Fernández,ESP,GK,33,1991,1,1,90,1.0,0,0.0,5,5,100.0,0,1,0,1,100.0,0,0,0,0,
ESP-La Liga,2425,Osasuna,Sergio Herrera,ESP,GK,31,1993,37,37,3330,37.0,52,1.41,177,132,74.6,12,15,10,8,21.6,7,7,0,0,0.0
ESP-La Liga,2425,Rayo Vallecano,Augusto Batalla,ARG,GK,28,1996,32,32,2880,32.0,39,1.22,125,93,73.6,10,12,10,8,25.0,8,6,2,0,25.0
ESP-La Liga,2425,Rayo Vallecano,Dani Cárdenas,ESP,GK,27,1997,6,6,540,6.0,6,1.0,20,14,70.0,3,1,2,2,33.3,0,0,0,0,
ESP-La Liga,2425,Real Betis,Adrián,ESP,GK,37,1987,19,19,1710,19.0,27,1.42,76,50,65.8,10,5,4,3,15.8,1,1,0,0,0.0
ESP-La Liga,2425,Real Betis,Fran Vieites,ESP,GK,25,1999,4,4,360,4.0,5,1.25,12,7,58.3,1,2,1,0,0.0,0,0,0,0,
ESP-La Liga,2425,Real Betis,Rui Silva,POR,GK,30,1994,15,15,1350,15.0,18,1.2,52,37,71.2,5,5,5,4,26.7,3,3,0,0,0.0
ESP-La Liga,2425,Real Madrid,Andriy Lunin,UKR,GK,25,1999,7,7,630,7.0,7,1.0,20,13,65.0,6,0,1,4,57.1,0,0,0,0,
ESP-La Liga,2425,Real Madrid,Fran,ESP,GK,19,2005,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2425,Real Madrid,Thibaut Courtois,BEL,GK,32,1992,30,30,2700,30.0,29,0.97,103,77,74.8,20,6,4,11,36.7,3,3,0,0,0.0
ESP-La Liga,2425,Real Sociedad,Unai Marrero,ESP,GK,22,2001,2,2,180,2.0,3,1.5,10,8,70.0,0,0,2,0,0.0,1,0,1,0,100.0
ESP-La Liga,2425,Real Sociedad,Álex Remiro,ESP,GK,29,1995,36,36,3240,36.0,43,1.19,124,86,69.4,13,7,16,13,36.1,6,5,1,0,16.7
ESP-La Liga,2425,Sevilla,Álvaro Fernández,ESP,GK,26,1998,9,8,747,8.3,16,1.93,34,20,58.8,2,1,5,3,37.5,2,2,0,0,0.0
ESP-La Liga,2425,Sevilla,Ørjan Nyland,NOR,GK,33,1990,30,30,2673,29.7,39,1.31,108,73,66.7,8,10,12,8,26.7,4,3,1,0,25.0
ESP-La Liga,2425,Valencia,Giorgi Mamardashvili,GEO,GK,23,2000,34,34,3060,34.0,48,1.41,132,91,67.4,11,11,12,8,23.5,7,5,2,0,28.6
ESP-La Liga,2425,Valencia,Stole Dimitrievski,MKD,GK,30,1993,4,4,360,4.0,6,1.5,11,6,54.5,0,2,2,0,0.0,2,1,0,1,0.0
ESP-La Liga,2425,Valladolid,André Ferreira,POR,GK,28,1996,6,6,540,6.0,20,3.33,37,20,54.1,0,0,6,0,0.0,3,3,0,0,0.0
ESP-La Liga,2425,Valladolid,Arnau Rafús,ESP,GK,21,2003,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2425,Valladolid,Karl Jakob Hein,EST,GK,22,2002,31,31,2790,31.0,68,2.19,160,96,60.0,4,4,23,5,16.1,4,4,0,0,0.0
ESP-La Liga,2425,Villarreal,Diego Conde,ESP,GK,25,1998,22,22,1962,21.8,33,1.51,93,63,67.7,11,6,5,2,9.1,4,3,0,1,0.0
ESP-La Liga,2425,Villarreal,Luiz Lúcio Reis Júnior,BRA,GK,23,2001,17,16,1458,16.2,18,1.11,65,49,78.5,9,4,3,5,31.3,4,4,0,0,0.0
ESP-La Liga,2526,Alavés,Antonio Sivera,ESP,GK,28,1996,38,38,3420,38.0,56,1.47,148,97,65.5,11,10,17,5,13.2,5,5,0,0,0.0
ESP-La Liga,2526,Athletic Club,Alex Padilla,ESP,GK,21,2003,1,1,90,1.0,4,4.0,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
ESP-La Liga,2526,Athletic Club,Unai Simón,ESP,GK,28,1997,37,37,3330,37.0,54,1.46,146,97,65.1,13,6,18,6,16.2,6,3,2,1,40.0
ESP-La Liga,2526,Atlético Madrid,Jan Oblak,SVN,GK,32,1993,30,30,2700,30.0,31,1.03,104,75,72.1,17,6,7,11,36.7,3,2,0,1,0.0
ESP-La Liga,2526,Atlético Madrid,Juan Musso,ARG,GK,31,1994,8,8,720,8.0,13,1.62,32,22,68.8,4,0,4,3,37.5,3,3,0,0,0.0
ESP-La Liga,2526,Barcelona,Joan García,ESP,GK,24,2001,30,30,2700,30.0,21,0.7,92,74,80.4,27,1,2,15,50.0,3,3,0,0,0.0
ESP-La Liga,2526,Barcelona,Wojciech Szczęsny,POL,GK,35,1990,8,8,720,8.0,15,1.87,35,22,60.0,4,0,4,0,0.0,2,1,1,0,50.0
ESP-La Liga,2526,Celta Vigo,Ionuț Radu,ROU,GK,28,1997,38,38,3420,38.0,48,1.26,151,111,72.2,14,12,12,10,26.3,11,6,2,3,25.0
ESP-La Liga,2526,Elche,Iñaki Peña,ESP,GK,26,1999,16,16,1440,16.0,28,1.75,81,55,67.9,3,4,9,4,25.0,2,2,0,0,0.0
ESP-La Liga,2526,Elche,Matías Dituro,ARG,GK,38,1987,22,22,1980,22.0,29,1.32,89,64,71.9,7,9,6,4,18.2,5,4,0,1,0.0
ESP-La Liga,2526,Espanyol,Fortuño,ESP,GK,23,2001,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
ESP-La Liga,2526,Espanyol,Marko Dmitrović,SRB,GK,33,1992,37,37,3330,37.0,54,1.46,182,133,73.1,12,9,16,10,27.0,5,5,0,0,0.0
ESP-La Liga,2526,Getafe,David Soria,ESP,GK,32,1993,38,38,3420,38.0,38,1.0,151,115,75.5,15,6,17,12,31.6,4,1,2,1,66.7
ESP-La Liga,2526,Girona,Marc-André ter Stegen,GER,GK,33,1992,2,2,180,2.0,2,1.0,6,4,66.7,0,1,1,0,0.0,0,0,0,0,
ESP-La Liga,2526,Girona,Paulo Gazzaniga,ARG,GK,33,1992,35,35,3102,34.5,47,1.36,158,115,72.8,9,13,13,6,17.1,5,4,0,1,0.0
ESP-La Liga,2526,Girona,Vladyslav Krapyvtsov,UKR,GK,20,2005,2,1,136,1.5,6,3.97,9,4,44.4,0,0,1,0,0.0,1,1,0,0,0.0
